Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
2444;Cv;0.13;0.13;0.10;0.12;0.10;0.07;0.04;0.05;0.07;0.09;0.12;0.11;0.03
4452;N;30;30;30;30;30;30;30;30;30;30;30;30;30
4452;Min;16.0;18.6;21.8;23.0;25.4;32.6;37.2;36.0;33.8;24.8;21.4;16.8;39.0
4452;Q1;17.0;20.0;24.5;26.6;30.8;36.9;39.4;38.6;35.4;28.2;22.4;17.6;40.4
4452;Q2;18.0;21.0;26.0;28.3;33.6;38.2;40.2;40.4;36.3;29.5;23.6;18.4;40.7
4452;Q3;18.6;21.7;27.2;30.0;34.7;39.4;41.3;40.6;37.2;31.5;24.4;18.9;41.8
4452;Q4;19.6;22.6;28.2;31.7;36.0;40.1;41.9;41.6;38.8;33.0;25.4;20.5;43.0
4452;Max;23.2;24.8;30.0;33.2;38.6;43.4;44.4;44.8;43.0;34.6;29.2;25.6;44.8
4452;Mn;18.3;21.6;26.6;29.0;33.9;38.8;40.6;40.4;37.0;30.5;23.9;18.6;41.5
4452;Md;18.4;21.4;26.4;29.0;33.6;38.5;40.8;40.3;37.1;30.5;24.1;19.0;41.5
4452;S;1.53;1.51;2.05;2.65;3.10;2.26;1.62;1.83;2.10;2.50;1.81;1.75;1.43
4452;Cv;0.08;0.07;0.08;0.09;0.09;0.06;0.04;0.05;0.06;0.08;0.08;0.09;0.03
B954;N;27;28;29;30;30;27;29;28;28;27;26;27;17
B954;Min;16.6;17.8;19.6;21.0;22.0;27.2;30.6;30.2;29.3;25.7;21.1;18.0;33.3
B954;Q1;18.2;18.7;21.0;22.5;25.3;30.0;31.9;32.3;30.0;26.4;23.0;19.6;33.8
B954;Q2;19.2;19.8;22.0;23.6;26.9;30.4;32.8;33.5;30.8;27.2;23.4;20.2;34.4
B954;Q3;19.6;21.0;23.0;24.3;27.6;31.2;33.6;34.3;32.0;28.0;23.8;20.6;35.4
B954;Q4;20.5;22.4;24.0;25.6;28.7;32.4;35.0;35.2;32.4;30.2;25.0;21.2;36.4
B954;Max;23.8;23.5;26.5;27.8;30.4;36.5;36.6;36.6;34.6;31.2;27.2;23.8;36.6
B954;Mn;19.4;20.6;22.4;24.0;27.2;30.7;33.2;33.9;31.8;27.8;23.5;20.4;34.6
B954;Md;19.5;20.5;22.6;24.1;27.0;31.1;33.4;33.8;31.4;28.1;23.9;20.5;35.0
B954;S;1.52;1.77;1.72;1.67;1.79;1.75;1.69;1.67;1.34;1.76;1.44;1.23;1.21
B954;Cv;0.08;0.09;0.08;0.07;0.07;0.06;0.05;0.05;0.04;0.06;0.06;0.06;0.03
B893;N;28;30;29;30;28;29;30;30;29;30;30;28;23
B893;Min;15.6;15.6;17.4;18.6;21.8;27.0;30.4;29.6;28.0;23.6;20.4;17.0;31.8
B893;Q1;16.2;16.8;19.0;21.0;24.6;29.0;31.6;31.4;28.8;24.9;21.5;18.2;32.9
B893;Q2;17.2;17.6;20.1;22.0;25.5;30.9;32.7;33.1;29.4;26.0;22.2;18.7;33.7
B893;Q3;18.0;18.2;21.6;23.2;26.7;31.2;33.7;33.6;30.4;27.4;22.6;19.5;34.0
B893;Q4;18.8;18.9;22.4;24.3;28.0;32.6;34.2;34.3;31.3;28.6;23.4;20.2;35.4
B893;Max;20.2;21.0;27.2;25.7;30.7;33.8;39.6;36.6;32.6;30.2;25.2;20.8;39.6
B893;Mn;17.6;18.0;20.6;22.5;26.3;31.2;33.0;33.2;29.8;26.4;22.4;19.1;34.0
B893;Md;17.6;18.0;20.9;22.6;26.3;30.9;33.3;33.1;30.0;26.7;22.4;19.1;34.3
B893;S;1.20;1.32;2.15;1.70;2.15;1.79;1.98;1.66;1.30;1.84;1.04;1.02;1.75
B893;Cv;0.07;0.07;0.10;0.08;0.08;0.06;0.06;0.05;0.04;0.07;0.05;0.05;0.05
B228;N;30;30;30;29;29;30;30;29;29;30;29;28;24
B228;Min;16.2;17.0;19.6;21.8;22.6;26.2;31.8;31.0;28.6;24.6;20.6;17.6;33.0
B228;Q1;18.0;18.6;20.8;22.6;25.6;30.2;32.6;32.0;29.4;26.0;22.6;19.9;33.8
B228;Q2;19.6;19.3;21.8;24.0;27.0;31.3;33.4;33.0;30.2;27.0;23.0;20.4;34.4
B228;Q3;20.0;20.6;22.5;24.8;28.0;32.7;33.8;34.0;31.0;28.2;23.6;21.2;35.0
B228;Q4;20.9;21.9;23.6;25.6;29.0;33.2;35.3;35.0;32.2;29.5;24.5;22.3;35.6
B228;Max;22.4;24.4;26.6;28.0;32.0;36.5;38.0;37.6;35.5;31.2;27.6;23.0;38.0
B228;Mn;19.8;19.8;22.0;24.5;27.5;31.9;33.5;33.4;30.5;27.7;23.2;21.0;34.8
B228;Md;19.5;20.1;22.3;24.3;27.4;31.9;33.9;33.6;31.0;27.7;23.5;20.9;34.8
B228;S;1.54;1.97;1.59;1.56;2.04;2.11;1.55;1.60;1.74;1.74;1.38;1.39;1.28
B228;Cv;0.08;0.10;0.07;0.06;0.07;0.07;0.05;0.05;0.06;0.06;0.06;0.07;0.04
B278;N;29;30;30;28;28;27;30;30;30;28;28;30;21
B278;Min;16.4;16.6;20.0;21.4;23.4;30.0;33.2;32.5;29.0;25.4;20.4;17.4;36.0
B278;Q1;18.0;17.9;20.7;23.7;27.0;32.0;35.0;34.6;30.6;26.4;22.4;18.9;36.5
B278;Q2;18.6;19.2;21.9;24.8;29.0;33.6;36.4;35.5;31.6;27.5;23.0;19.8;37.4
B278;Q3;19.6;20.6;22.8;25.8;30.0;34.6;37.5;36.6;32.8;29.0;23.4;21.0;37.8
B278;Q4;21.0;21.8;24.8;26.5;31.6;36.4;38.2;38.2;33.6;30.8;24.6;21.8;38.9
B278;Max;22.4;23.6;28.6;28.8;34.2;41.4;40.6;40.2;38.2;33.2;27.0;23.8;40.6
B278;Mn;19.0;20.2;22.5;25.2;29.4;34.2;36.6;36.0;32.1;28.3;23.2;20.7;37.5
B278;Md;19.2;19.9;22.7;25.1;29.4;34.3;36.8;36.3;32.4;28.5;23.4;20.5;37.7
B278;S;1.55;1.93;2.13;1.65;2.51;2.60;1.89;1.96;2.03;2.15;1.35;1.53;1.27
B278;Cv;0.08;0.10;0.09;0.07;0.09;0.08;0.05;0.05;0.06;0.08;0.06;0.07;0.03
0200E;N;30;30;30;30;30;30;30;30;30;30;30;30;30
0200E;Min;13.6;14.5;17.4;19.4;22.4;24.2;30.2;29.8;26.4;21.6;17.6;13.8;32.0
0200E;Q1;14.6;16.6;19.4;21.6;24.9;29.5;31.7;30.5;28.0;23.5;19.0;15.2;32.7
0200E;Q2;16.3;17.9;20.6;23.4;26.4;30.6;32.6;32.4;28.7;24.7;19.4;16.5;33.8
0200E;Q3;17.3;19.0;21.6;23.7;27.6;31.6;33.4;33.8;29.4;25.5;20.3;17.9;35.0
0200E;Q4;18.0;20.4;23.1;25.0;28.4;32.6;35.0;35.6;31.4;27.6;21.9;18.8;36.4
0200E;Max;20.3;21.2;27.9;26.0;33.4;35.4;39.8;38.4;33.0;30.0;26.4;19.8;39.8
0200E;Mn;17.2;18.8;21.1;23.6;26.7;30.9;32.9;33.1;29.1;25.0;19.6;17.0;34.4
0200E;Md;16.7;18.3;21.4;23.3;26.7;31.1;33.3;33.4;29.3;25.4;20.4;17.0;34.7
0200E;S;1.80;1.86;2.39;1.83;2.28;2.31;2.01;2.56;1.78;2.11;1.98;1.77;2.08
0200E;Cv;0.11;0.10;0.11;0.08;0.09;0.07;0.06;0.08;0.06;0.08;0.10;0.10;0.06
0076;N;29;30;29;30;30;29;30;29;29;28;29;28;24
0076;Min;15.8;14.9;18.9;19.9;21.8;24.2;27.9;28.2;25.6;23.8;19.0;16.5;29.6
0076;Q1;16.6;16.8;19.5;21.0;23.8;27.8;30.0;29.9;28.4;24.6;20.4;17.7;31.4
0076;Q2;18.0;19.0;21.0;22.4;24.3;28.6;30.9;31.4;29.0;25.6;21.4;18.5;32.1
0076;Q3;18.6;20.4;22.2;23.3;26.0;30.0;31.4;32.4;30.0;27.0;22.0;20.0;32.6
0076;Q4;20.0;22.2;23.6;24.4;26.8;31.7;32.8;33.8;30.5;28.0;23.7;20.5;34.0
0076;Max;22.4;24.5;26.0;25.4;29.4;34.9;34.8;37.3;33.4;30.4;25.2;23.2;37.3
0076;Mn;18.4;20.0;21.4;22.5;25.3;29.5;31.0;32.0;29.6;26.4;21.6;19.6;32.4
0076;Md;18.4;19.7;21.7;22.7;25.2;29.6;31.3;31.9;29.5;26.4;21.9;19.3;32.6
0076;S;1.81;2.58;1.95;1.56;1.83;2.29;1.63;2.01;1.58;1.78;1.58;1.61;1.79
0076;Cv;0.10;0.13;0.09;0.07;0.07;0.08;0.05;0.06;0.05;0.07;0.07;0.08;0.05
1082;N;29;30;30;29;30;30;30;30;30;30;29;29;27
1082;Min;15.8;16.0;20.2;21.5;22.6;29.2;27.7;27.7;28.2;23.3;18.1;17.1;34.0
1082;Q1;18.8;19.8;24.1;23.8;28.9;30.9;30.8;32.6;31.1;25.7;22.2;18.1;35.1
1082;Q2;19.7;21.5;25.3;25.8;30.3;32.1;34.4;34.1;33.1;27.8;23.0;19.8;36.2
1082;Q3;20.6;22.4;26.5;27.1;31.3;34.7;35.8;35.2;34.5;29.6;24.3;21.1;38.3
1082;Q4;21.5;24.4;27.7;28.6;32.7;36.1;38.3;36.7;35.6;31.3;25.8;22.0;39.8
1082;Max;23.4;26.8;29.1;33.1;36.0;38.2;40.4;41.9;41.7;33.4;27.6;23.7;41.9
1082;Mn;19.8;21.7;25.6;26.4;31.0;33.1;35.1;34.9;33.8;28.5;23.8;20.3;37.6
1082;Md;20.1;21.8;25.7;26.5;30.7;33.5;35.0;34.7;33.6;28.6;23.8;20.3;37.6
1082;S;1.60;2.72;2.18;2.84;2.68;2.73;3.47;2.89;3.00;2.58;2.12;2.09;2.30
1082;Cv;0.08;0.12;0.08;0.11;0.09;0.08;0.10;0.08;0.09;0.09;0.09;0.10;0.06
2331;N;30;30;30;30;30;30;30;30;29;30;30;30;29
2331;Min;9.8;11.5;14.0;17.6;19.2;25.4;30.8;27.2;28.0;19.2;15.5;10.6;32.9
2331;Q1;11.4;13.6;18.5;20.2;25.5;30.3;33.9;32.9;29.4;22.6;16.6;12.0;35.0
2331;Q2;12.4;15.9;20.6;22.4;26.2;31.0;35.0;34.3;30.5;23.8;17.5;13.1;35.7
2331;Q3;13.8;17.0;21.5;23.5;27.6;32.3;35.7;35.4;31.7;25.6;18.9;14.0;36.5
2331;Q4;15.9;18.4;22.4;24.9;29.3;34.2;36.5;36.4;33.6;27.1;20.0;15.3;37.3
2331;Max;17.2;21.2;24.3;27.0;33.4;36.9;37.8;38.8;36.8;29.1;24.0;20.0;38.8
2331;Mn;13.0;16.5;21.0;23.2;26.8;31.4;35.4;35.0;31.0;24.5;17.9;13.5;36.4
2331;Md;13.4;16.2;20.6;22.7;26.8;31.8;35.3;34.7;31.3;24.7;18.4;14.0;36.1
2331;S;2.19;2.65;2.22;2.46;2.96;2.70;1.59;2.27;2.34;2.46;2.12;2.50;1.38
2331;Cv;0.16;0.16;0.11;0.11;0.11;0.08;0.04;0.07;0.07;0.10;0.11;0.18;0.04
3469A;N;28;28;28;28;28;28;28;28;28;28;28;29;28
3469A;Min;14.4;16.0;18.6;19.4;22.6;31.4;36.0;35.4;32.4;22.4;18.6;15.0;37.4
3469A;Q1;14.8;17.6;22.0;24.0;28.2;34.3;38.4;37.8;33.9;26.6;20.0;15.5;39.0
3469A;Q2;15.7;18.6;23.3;25.9;32.2;36.7;39.2;39.0;35.1;27.9;21.1;16.8;39.8
3469A;Q3;16.2;19.8;24.4;27.5;33.2;37.8;40.1;39.5;35.6;28.8;22.3;17.0;40.5
3469A;Q4;17.2;20.3;25.2;29.3;34.2;38.4;40.8;40.6;37.2;30.7;23.2;17.6;41.0
3469A;Max;21.2;22.4;25.8;31.2;36.6;41.0;42.0;42.6;40.6;33.0;26.6;21.0;42.6
3469A;Mn;16.0;19.2;24.0;26.7;32.7;37.3;39.7;39.2;35.3;28.4;21.6;17.0;40.3
